"R0000100","R0214800","T8089600","T8089800","T8218700","T8219400"
225,1,-5,-5,-5,-5
226,1,-5,-5,-5,-5
227,2,170,5,41160,61
228,2,202,2,6671,60
229,2,194,6,8064,56
230,1,175,10,80500,54
231,2,139,0,91000,61
232,1,160,8,36337,56
233,1,220,10,60000,54
234,1,255,6,252000,57
235,1,190,3,89500,55
236,2,165,5,166000,57
237,2,90,5,-3,61
238,2,-5,-5,-5,-5
239,2,-5,-5,-5,-5
240,2,182,5,91271,56
241,1,-5,-5,-5,-5
242,2,170,6,170700,59
243,1,232,0,250000,60
244,2,260,2,29800,61
245,2,130,4,118800,56
246,1,-5,-5,-5,-5
247,1,200,9,90000,60
248,1,210,0,13920,57
249,2,200,5,80800,55
250,2,212,2,62000,60
251,1,185,6,71608,55
252,2,148,4,-3,54
253,1,170,8,48000,54
254,2,145,4,45000,57
255,2,122,3,87000,56
256,2,115,3,4000,57
257,1,178,8,17684,54
258,2,198,4,18160,60
259,1,319,4,35000,60
260,1,190,8,112500,57
261,1,210,10,100000,55
262,2,-5,-5,-5,-5
263,1,-5,-5,-5,-5
264,2,-5,-5,-5,-5
265,2,158,9,90000,56
266,1,-5,-5,-5,-5
267,1,205,8,10980,60
268,1,155,10,-3,60
269,1,180,10,300000,59
270,1,-5,-5,-5,-5
271,2,-5,-5,-5,-5
272,2,167,6,140000,61
273,1,228,0,115000,59
274,1,270,3,20880,58
275,2,182,5,-3,55
276,2,-5,-5,-5,-5
277,1,200,11,28020,59
278,2,-5,-5,-5,-5
279,1,-5,-5,-5,-5
280,2,-5,-5,-5,-5
281,1,235,3,204820,57
282,2,115,4,50000,55
283,1,230,9,117500,60
284,1,164,5,133000,58
285,2,140,1,171000,57
286,2,180,4,76866,54
287,2,-5,-5,-5,-5
288,2,-5,-5,-5,-5
289,2,155,7,-3,56
290,2,175,5,-3,58
291,1,240,1,4704,59
292,2,168,4,234300,61
293,2,156,4,166850,59
294,2,158,4,42000,57
295,1,-5,-5,-5,-5
296,1,198,11,60900,55
297,2,172,1,-3,61
298,2,175,0,95000,55
299,1,130,6,12000,55
300,1,-5,-5,-5,-5
301,1,191,9,107000,57
302,1,190,1,15420,58
303,1,140,4,45000,55
304,1,183,7,53000,54
305,2,-5,-5,-5,-5
306,1,220,9,33000,59
307,2,149,2,29226,61
308,1,-5,-5,-5,-5
309,1,165,10,83500,59
310,1,170,10,63000,58
311,1,200,1,40000,54
312,2,240,4,95433,56
313,1,170,7,56000,55
314,2,-5,-5,-5,-5
315,1,-5,-5,-5,-5
316,1,170,6,-3,54
317,1,215,1,-3,59
318,1,-5,-5,-5,-5
319,2,160,4,-3,61
320,1,200,9,320000,58
321,2,-5,-5,-5,-5
322,2,-5,-5,-5,-5
323,1,200,10,-3,59
324,1,-5,-5,-5,-5
325,1,-5,-5,-5,-5
326,2,-5,-5,-5,-5
327,2,-5,-5,-5,-5
328,1,-5,-5,-5,-5
329,1,-5,-5,-5,-5
330,1,-5,-5,-5,-5
331,1,228,4,8796,57
332,1,223,10,15600,54
333,2,221,8,290000,61
334,1,-5,-5,-5,-5
335,2,197,5,38000,61
336,1,185,9,60000,55
337,1,225,10,29376,60
338,2,157,2,27000,59
339,2,150,1,10800,57
340,2,148,4,-3,55
341,2,152,5,-3,59
342,1,180,10,175000,55
343,2,135,0,22000,60
344,2,-5,-5,-5,-5
345,2,-5,-5,-5,-5
346,1,180,10,150000,56
347,2,-5,-5,-5,-5
348,1,188,8,702057,61
349,1,200,6,100000,60
350,1,240,9,185000,56
351,1,-5,-5,-5,-5
352,2,204,4,31601,56
353,1,-5,-5,-5,-5
354,2,135,3,115085,61
355,1,175,4,277000,54
356,1,157,7,142000,56
357,1,200,7,157000,60
358,1,212,0,220000,57
359,2,-5,-5,-5,-5
360,2,112,2,135700,57
361,1,-5,-5,-5,-5
362,1,165,10,-3,61
363,2,116,4,9780,57
364,1,-5,-5,-5,-5
365,2,190,7,-3,57
366,1,-5,-5,-5,-5
367,2,210,9,133600,59
368,2,-5,-5,-5,-5
369,2,125,5,345045,60
370,2,-1,6,120200,58
371,2,-5,-5,-5,-5
372,1,235,0,-3,57
373,2,140,5,176000,59
374,2,-5,-5,-5,-5
375,1,165,4,17000,58
376,1,180,6,90000,57
377,1,-5,-5,-5,-5
378,1,150,7,27000,58
379,2,180,3,-3,55
380,1,240,1,12420,61
381,1,-5,-5,-5,-5
382,2,134,11,-3,59
383,1,-5,-5,-5,-5
384,1,-5,-5,-5,-5
385,2,155,3,38194,57
386,2,138,6,-3,56
387,1,222,2,10092,55
388,2,278,11,77400,56
389,2,-5,-5,-5,-5
390,2,-5,-5,-5,-5
391,2,179,6,41720,55
392,1,220,0,80000,59
393,1,230,11,103000,56
394,1,185,11,11244,57
395,2,160,3,26753,55
396,1,210,4,-3,55
397,2,288,5,-3,59
398,1,320,0,1400,60
399,2,155,3,235000,61
400,2,150,5,201000,57
401,2,192,3,74000,57
402,2,130,5,-3,60
403,1,304,11,-3,62
404,1,-5,-5,-5,-5
405,2,120,-4,68000,59
406,1,175,5,51500,54
407,2,145,5,85000,55
408,1,240,1,92000,57
409,1,185,10,-3,61
410,1,-5,-5,-5,-5
411,1,200,0,-3,55
412,1,230,11,130000,54
413,1,-5,-5,-5,-5
414,2,-5,-5,-5,-5
415,1,220,10,113000,56
416,2,160,6,-3,61
417,1,200,0,130000,58
418,2,155,5,39596,54
419,1,210,7,51000,56
420,1,165,7,65000,54
421,1,-5,-5,-5,-5
422,1,180,7,180000,60
423,2,112,1,260000,59
424,1,-5,-5,-5,-5
