"R0000100","R0214800","T8089600","T8089800","T8218700","T8219400"
2227,1,185,9,28000,59
2228,2,180,6,-3,58
2229,2,150,2,32020,57
2230,2,190,5,99200,54
2231,1,174,8,-3,58
2232,2,-5,-5,-5,-5
2233,1,260,6,108000,54
2234,2,180,7,105000,57
2235,2,-5,-5,-5,-5
2236,1,-5,-5,-5,-5
2237,2,190,6,126800,57
2238,1,230,3,173000,56
2239,1,165,9,-3,56
2240,2,72,0,-3,57
2241,1,-5,-5,-5,-5
2242,2,200,11,24576,61
2243,2,-5,-5,-5,-5
2244,2,-5,-5,-5,-5
2245,2,190,5,77300,57
2246,2,128,4,12000,59
2247,2,180,4,62000,59
2248,1,-5,-5,-5,-5
2249,2,190,2,38000,55
2250,2,170,3,58225,55
2251,2,160,2,28800,56
2252,2,-5,-5,-5,-5
2253,2,235,3,6676,55
2254,2,140,2,82000,55
2255,1,-5,-5,-5,-5
2256,1,-5,-5,-5,-5
2257,2,160,9,0,55
2258,1,190,8,11232,55
2259,2,180,1,15000,57
2260,2,160,3,51000,57
2261,1,180,8,-3,54
2262,2,160,4,6480,61
2263,1,240,8,50000,56
2264,1,276,0,15700,60
2265,2,177,6,0,57
2266,1,188,10,31000,54
2267,2,294,8,5160,59
2268,2,156,0,0,55
2269,1,219,9,-3,57
2270,2,200,2,70000,59
2271,2,187,2,34000,56
2272,2,-5,-5,-5,-5
2273,1,213,8,0,54
2274,2,130,6,-3,56
2275,2,125,2,89000,53
2276,1,185,10,152500,53
2277,1,195,9,116000,54
2278,2,192,8,63000,59
2279,1,-5,-5,-5,-5
2280,2,130,6,-3,58
2281,2,98,5,24216,61
2282,2,-5,-5,-5,-5
2283,2,148,0,-3,61
2284,2,205,3,40000,57
2285,2,129,2,99200,61
2286,2,120,1,230000,53
2287,2,155,8,255000,57
2288,2,-5,-5,-5,-5
2289,2,150,8,32328,59
2290,2,300,5,111600,55
2291,1,220,2,102612,54
2292,2,-5,-5,-5,-5
2293,1,-5,-5,-5,-5
2294,2,180,0,-3,55
2295,2,180,4,-3,60
2296,2,-5,-5,-5,-5
2297,2,-5,-5,-5,-5
2298,2,132,1,106000,58
2299,2,150,4,160500,61
2300,1,-5,-5,-5,-5
2301,2,-5,-5,-5,-5
2302,1,235,11,305000,57
2303,1,-5,-5,-5,-5
2304,1,145,11,25000,61
2305,1,-5,-5,-5,-5
2306,1,258,1,26000,56
2307,1,-5,-5,-5,-5
2308,2,-5,-5,-5,-5
2309,1,160,11,-3,57
2310,2,220,6,51900,55
2311,2,-5,-5,-5,-5
2312,1,-5,-5,-5,-5
2313,2,160,5,43000,57
2314,1,175,7,74000,61
2315,2,162,8,20904,59
2316,1,-5,-5,-5,-5
2317,2,-5,-5,-5,-5
2318,1,145,11,40000,59
2319,2,130,2,20941,57
2320,1,-5,-5,-5,-5
2321,2,-5,-5,-5,-5
2322,2,150,2,154000,57
2323,1,-5,-5,-5,-5
2324,2,130,6,100000,56
2325,1,-5,-5,-5,-5
2326,1,225,9,73000,57
2327,1,-5,-5,-5,-5
2328,2,283,4,-3,61
2329,1,300,0,42000,60
2330,1,-5,-5,-5,-5
2331,1,172,7,122239,56
2332,1,200,11,44180,59
2333,2,-5,-5,-5,-5
2334,1,-5,-5,-5,-5
2335,1,169,2,110015,61
2336,1,182,11,-3,61
2337,2,122,2,0,56
2338,1,163,11,43200,57
2339,2,132,5,702057,59
2340,2,169,5,2475,59
2341,1,200,8,68000,57
2342,2,-5,-5,-5,-5
2343,1,155,6,702057,57
2344,1,145,4,-3,56
2345,1,200,0,-3,55
2346,2,-5,-5,-5,-5
2347,2,145,2,21000,54
2348,2,120,0,0,59
2349,1,-5,-5,-5,-5
2350,2,-5,-5,-5,-5
2351,1,220,2,58000,58
2352,1,195,11,36040,55
2353,1,247,2,68500,55
2354,1,170,8,-3,58
2355,2,-5,-5,-5,-5
2356,2,215,7,22000,55
2357,2,-5,-5,-5,-5
2358,2,-5,-5,-5,-5
2359,2,135,0,14948,60
2360,2,188,7,76200,57
2361,1,200,7,156820,57
2362,2,212,6,89000,59
2363,1,175,7,-3,59
2364,2,190,8,25000,61
2365,1,250,0,47400,56
2366,1,-5,-5,-5,-5
2367,1,181,0,96000,59
2368,2,-5,-5,-5,-5
2369,2,135,7,91200,61
2370,2,252,8,43500,60
2371,1,-5,-5,-5,-5
2372,1,225,9,183000,54
2373,2,-5,-5,-5,-5
2374,2,180,5,11280,60
2375,2,160,6,-3,58
2376,1,195,10,140000,54
2377,1,185,8,37900,55
2378,1,-5,-5,-5,-5
2379,1,-5,-5,-5,-5
2380,1,225,3,-3,56
2381,1,112,0,-3,57
2382,1,-5,-5,-5,-5
2383,2,347,4,58068,56
2384,1,220,11,30000,55
2385,1,175,5,177000,58
2386,1,230,5,-3,56
2387,2,120,1,100000,54
2388,2,-5,-5,-5,-5
2389,1,-5,-5,-5,-5
2390,2,-5,-5,-5,-5
2391,1,-5,-5,-5,-5
2392,1,-5,-5,-5,-5
2393,1,-5,-5,-5,-5
2394,2,-5,-5,-5,-5
2395,2,153,0,9108,57
2396,2,171,2,-3,56
2397,1,-5,-5,-5,-5
2398,2,-5,-5,-5,-5
2399,2,190,3,-3,57
2400,2,230,1,-3,56
2401,1,200,7,-3,61
2402,2,-5,-5,-5,-5
2403,1,208,10,13000,59
2404,2,140,2,11892,58
2405,2,223,6,41400,58
2406,1,-5,-5,-5,-5
2407,2,210,0,-3,60
2408,2,121,1,98000,58
2409,2,-5,-5,-5,-5
2410,2,150,2,260000,57
2411,2,250,7,-3,56
2412,2,140,3,120000,55
2413,1,-5,-5,-5,-5
2414,2,-5,-5,-5,-5
2415,1,-5,-5,-5,-5
2416,2,-5,-5,-5,-5
2417,1,-5,-5,-5,-5
2418,2,135,2,118100,58
2419,1,175,2,77010,56
2420,2,200,4,-3,54
2421,1,172,10,110000,59
2422,1,212,2,20000,56
2423,1,330,11,-3,59
2424,2,280,7,63000,55
2425,1,250,11,66010,58
2426,2,220,8,222001,55
2427,1,235,1,50000,54
2428,1,-5,-5,-5,-5
2429,1,-5,-5,-5,-5
2430,2,120,0,0,60
2431,1,-5,-5,-5,-5
2432,1,-5,-5,-5,-5
2433,2,160,4,96600,55
2434,2,-5,-5,-5,-5
2435,2,180,1,-3,56
2436,2,160,4,120000,59
2437,2,128,6,702057,58
2438,1,185,11,178000,57
2439,1,190,8,174200,55
2440,1,-5,-5,-5,-5
2441,2,180,3,93120,55
2442,2,230,7,219000,60
2443,1,200,9,39240,55
2444,2,195,7,102500,54
2445,1,-5,-5,-5,-5
2446,1,-2,7,-3,59
2447,2,200,6,-3,59
2448,2,-5,-5,-5,-5
2449,1,-5,-5,-5,-5
2450,2,-5,-5,-5,-5
2451,1,215,6,63100,59
2452,2,200,2,61000,58
2453,2,-5,-5,-5,-5
2454,2,143,5,60000,55
2455,1,-5,-5,-5,-5
2456,1,-5,-5,-5,-5
2457,2,-5,-5,-5,-5
2458,2,170,6,-3,60
2459,2,210,7,21768,57
2460,1,332,0,26232,59
2461,2,195,10,110040,56
2462,2,200,4,28300,59
2463,1,160,8,88020,60
2464,1,-5,-5,-5,-5
2465,1,160,7,162100,55
2466,1,-5,-5,-5,-5
2467,1,-5,-5,-5,-5
2468,1,270,5,702057,56
2469,2,-5,-5,-5,-5
2470,1,200,0,172000,56
2471,2,185,3,1000,53
2472,1,245,5,173000,60
2473,2,204,6,102000,54
2474,2,100,2,126200,60
2475,1,210,8,64000,55
2476,1,-5,-5,-5,-5
2477,1,193,10,32500,54
2478,2,125,3,37000,58
2479,1,145,8,30000,56
2480,2,180,6,111600,54
2481,1,208,10,39600,59
2482,2,172,6,62000,57
2483,2,169,3,25636,61
2484,2,180,2,-3,55
2485,2,130,8,140000,54
2486,1,195,10,-3,57
2487,1,305,11,-3,56
2488,2,-1,1,-3,61
2489,1,178,9,-3,59
2490,1,225,10,-3,58
2491,1,155,8,100000,55
2492,2,-5,-5,-5,-5
2493,1,175,10,46000,55
2494,1,190,11,60100,61
2495,1,-5,-5,-5,-5
2496,2,-5,-5,-5,-5
2497,1,-5,-5,-5,-5
2498,1,185,9,186000,61
2499,2,-5,-5,-5,-5
2500,2,-5,-5,-5,-5
2501,2,185,4,25028,62
2502,1,200,0,183200,56
2503,2,-5,-5,-5,-5
2504,1,180,10,22184,58
2505,2,287,6,47000,61
2506,1,235,10,-3,56
2507,2,130,4,76000,60
2508,1,-5,-5,-5,-5
2509,1,230,0,180000,57
2510,2,135,5,265000,54
2511,2,-5,-5,-5,-5
2512,2,160,3,13980,55
2513,1,212,0,12000,54
2514,2,185,7,140000,59
2515,2,-5,-5,-5,-5
2516,1,-5,-5,-5,-5
2517,1,-5,-5,-5,-5
2518,1,175,7,22000,61
2519,2,-5,-5,-5,-5
2520,1,-5,-5,-5,-5
2521,2,130,2,85000,55
2522,1,195,8,125120,60
2523,2,199,5,99000,59
2524,1,188,10,154400,56
2525,2,160,3,45020,59
2526,1,-5,-5,-5,-5
2527,1,190,10,100000,54
2528,2,127,6,-3,57
2529,2,130,5,79250,56
2530,2,140,5,7275,54
2531,2,-5,-5,-5,-5
2532,1,-5,-5,-5,-5
2533,2,-1,10,-3,55
2534,1,-5,-5,-5,-5
2535,1,210,7,31200,60
2536,2,-5,-5,-5,-5
2537,1,181,11,26000,59
2538,2,130,4,-3,58
2539,1,190,2,57600,58
2540,1,190,0,65500,56
2541,1,230,0,91100,57
2542,2,130,9,147000,56
2543,2,125,2,-3,60
2544,2,140,4,144000,58
2545,1,220,8,324000,57
2546,1,155,10,1500,54
2547,1,185,9,50000,54
2548,1,-5,-5,-5,-5
2549,2,220,5,109075,60
2550,1,222,10,-3,58
2551,2,205,1,113174,57
2552,2,190,2,80000,55
2553,1,262,9,24000,57
2554,2,-5,-5,-5,-5
2555,1,200,8,100000,58
2556,2,-1,9,-3,58
2557,1,200,2,335660,54
2558,2,175,1,78200,57
2559,2,174,0,52000,54
2560,2,-5,-5,-5,-5
2561,1,-5,-5,-5,-5
2562,1,-5,-5,-5,-5
2563,1,-5,-5,-5,-5
2564,2,140,8,70000,58
2565,2,180,5,46955,60
2566,2,160,7,79400,58
2567,2,160,6,-3,56
2568,1,228,10,30000,61
2569,2,152,0,135000,59
2570,2,225,7,32380,56
2571,1,-5,-5,-5,-5
2572,1,170,10,89900,56
2573,2,185,6,-3,60
2574,1,185,9,44400,56
2575,2,-5,-5,-5,-5
2576,1,234,1,34800,56
2577,2,115,4,82850,57
2578,1,187,8,44310,57
2579,1,150,10,16900,56
2580,2,150,8,-3,57
2581,1,215,3,2580,56
2582,1,185,1,10000,57
2583,1,-5,-5,-5,-5
2584,1,209,3,-3,54
2585,2,240,2,81644,59
2586,1,250,11,115000,58
2587,1,190,7,93000,57
2588,2,172,6,248900,57
2589,1,195,10,-3,54
2590,2,195,0,160600,57
2591,2,135,2,-3,56
2592,2,150,3,33000,55
2593,1,205,10,21453,55
2594,1,210,8,115000,56
2595,1,-5,-5,-5,-5
2596,2,-5,-5,-5,-5
2597,1,-5,-5,-5,-5
2598,1,218,10,48838,54
2599,2,152,0,-3,61
2600,2,-5,-5,-5,-5
2601,1,244,0,41600,60
2602,1,215,0,60000,54
2603,2,118,3,-3,56
2604,1,-5,-5,-5,-5
2605,2,210,11,96000,58
2606,2,-5,-5,-5,-5
2607,2,185,6,94936,58
2608,2,-5,-5,-5,-5
2609,1,210,10,-3,60
2610,1,250,0,31277,56
2611,1,-5,-5,-5,-5
2612,1,234,8,11860,55
2613,1,182,9,4504,60
2614,1,275,8,-3,58
2615,2,156,1,87000,54
2616,1,275,11,256000,60
2617,1,-5,-5,-5,-5
2618,1,-5,-5,-5,-5
2619,1,-5,-5,-5,-5
2620,1,195,8,127000,59
2621,1,201,8,68000,58
2622,2,110,2,115000,55
2623,2,-5,-5,-5,-5
2624,2,-5,-5,-5,-5
2625,1,-5,-5,-5,-5
2626,2,200,5,59000,57
2627,2,250,8,104000,54
2628,2,185,4,23400,61
2629,2,168,2,183025,57
2630,1,-5,-5,-5,-5
2631,1,175,6,65000,57
2632,1,-5,-5,-5,-5
2633,1,239,11,139000,56
2634,1,-5,-5,-5,-5
2635,2,134,2,54141,61
2636,2,-5,-5,-5,-5
2637,1,185,0,71000,58
2638,2,-5,-5,-5,-5
2639,1,-5,-5,-5,-5
2640,2,130,0,22000,59
2641,1,-5,-5,-5,-5
2642,1,185,11,131700,56
2643,1,-5,-5,-5,-5
2644,1,-5,-5,-5,-5
2645,2,180,1,100000,56
2646,2,165,3,151000,61
2647,1,175,10,350000,59
2648,2,-5,-5,-5,-5
2649,1,-5,-5,-5,-5
2650,1,190,9,-3,56
2651,2,160,4,16564,55
2652,2,167,0,-3,53
2653,1,240,10,20000,58
2654,2,192,4,52600,57
2655,2,212,7,23000,54
2656,2,-5,-5,-5,-5
2657,2,-5,-5,-5,-5
2658,1,-5,-5,-5,-5
2659,2,152,1,14000,54
2660,1,-5,-5,-5,-5
2661,1,180,5,26000,58
2662,2,-5,-5,-5,-5
2663,2,145,1,7367,55
2664,2,-5,-5,-5,-5
2665,1,260,6,47000,56
2666,1,190,4,50000,55
2667,1,203,2,-3,61
2668,2,140,11,62000,61
2669,2,130,8,20000,59
2670,2,175,0,-3,59
2671,1,-5,-5,-5,-5
2672,2,190,1,50000,59
2673,1,-5,-5,-5,-5
2674,1,220,7,30000,58
2675,2,129,1,17000,56
2676,1,-5,-5,-5,-5
2677,2,195,4,-3,55
2678,2,152,6,96230,57
2679,2,200,6,49550,57
2680,2,135,2,180000,57
2681,2,172,1,32000,56
2682,1,192,10,27000,54
2683,2,162,1,106000,58
2684,1,240,11,-3,59
2685,1,260,9,99000,59
2686,1,-5,-5,-5,-5
2687,1,250,0,148960,58
2688,1,-5,-5,-5,-5
2689,2,230,8,124000,59
2690,2,140,0,110000,56
2691,2,228,5,97172,54
2692,2,160,2,-3,58
2693,1,230,7,34233,59
2694,1,158,4,14563,60
2695,2,-5,-5,-5,-5
2696,1,190,10,129000,55
2697,1,300,8,70090,55
2698,2,145,4,29890,61
2699,2,160,2,-3,59
2700,2,236,4,0,58
2701,2,158,2,114000,56
2702,1,176,9,193500,60
2703,1,185,7,600,58
2704,2,155,0,-3,59
2705,2,200,3,35000,55
2706,2,169,2,-3,56
2707,1,180,10,50000,54
2708,1,140,5,-3,58
2709,2,123,1,21084,56
2710,2,135,0,42000,54
2711,1,-5,-5,-5,-5
2712,2,-5,-5,-5,-5
2713,1,200,4,57600,54
2714,1,190,9,131000,58
2715,1,-5,-5,-5,-5
2716,1,255,7,-3,57
2717,1,300,2,40000,60
2718,1,160,8,40000,58
2719,2,-5,-5,-5,-5
2720,2,160,3,-3,59
2721,1,236,11,45000,60
2722,2,190,5,56800,56
2723,2,195,10,180000,57
2724,1,175,11,330000,55
2725,1,165,10,-3,54
2726,1,190,1,-3,59
2727,2,150,1,49000,55
2728,1,230,0,100000,59
2729,2,170,9,40000,58
2730,2,153,6,-3,59
2731,2,148,5,84000,56
2732,1,225,11,13025,55
2733,1,198,10,32000,60
2734,1,227,1,52500,58
2735,2,190,5,66000,57
2736,2,-5,-5,-5,-5
2737,2,165,2,99000,58
2738,2,187,3,71200,58
2739,2,220,6,93536,56
2740,2,250,3,64000,54
2741,1,280,11,86000,61
2742,2,200,5,87000,61
2743,2,240,5,18328,56
2744,2,130,4,14400,61
2745,1,225,0,58400,59
2746,2,-5,-5,-5,-5
2747,1,180,9,16080,60
2748,2,200,4,87100,61
2749,1,200,0,10800,60
2750,1,240,3,66375,61
2751,1,-5,-5,-5,-5
2752,2,170,6,-3,61
2753,2,182,5,16101,60
2754,1,-5,-5,-5,-5
2755,1,180,10,51600,57
2756,2,-2,4,176800,58
2757,2,-5,-5,-5,-5
2758,2,-5,-5,-5,-5
2759,1,300,2,62000,57
2760,1,230,10,87000,54
2761,1,-5,-5,-5,-5
2762,1,-5,-5,-5,-5
2763,1,-5,-5,-5,-5
2764,1,-5,-5,-5,-5
2765,1,205,0,115000,55
2766,1,-5,-5,-5,-5
2767,1,145,4,97104,54
2768,1,195,8,-3,57
2769,2,171,2,1000,56
2770,2,195,6,82700,59
2771,2,171,5,120000,58
2772,1,235,0,54000,55
2773,1,300,0,47000,57
2774,1,220,1,75000,61
2775,2,220,5,63000,58
2776,1,250,5,156000,56
2777,1,150,11,-3,58
2778,2,120,2,-3,58
2779,1,250,10,67000,57
2780,1,220,5,0,54
2781,2,160,7,85600,59
2782,1,-5,-5,-5,-5
2783,1,-5,-5,-5,-5
2784,2,220,9,-3,56
2785,2,-5,-5,-5,-5
2786,1,-5,-5,-5,-5
2787,1,-5,-5,-5,-5
2788,2,-5,-5,-5,-5
2789,2,-5,-5,-5,-5
2790,2,-5,-5,-5,-5
2791,1,-5,-5,-5,-5
2792,2,200,7,40420,60
2793,1,152,0,2304,58
2794,1,-5,-5,-5,-5
2795,2,248,3,5278,57
2796,2,-5,-5,-5,-5
2797,1,172,5,60000,59
2798,1,156,6,-3,58
2799,1,-5,-5,-5,-5
2800,1,-5,-5,-5,-5
2801,1,165,0,64000,56
2802,1,235,11,85000,54
2803,1,258,10,23796,57
2804,2,-1,5,187500,56
2805,1,185,10,-3,56
2806,2,190,2,50000,55
2807,1,220,6,45000,55
2808,2,225,6,77760,54
2809,2,160,6,-3,58
2810,2,204,9,57000,56
2811,1,275,1,59400,55
2812,1,-5,-5,-5,-5
2813,1,193,0,95000,59
2814,2,-5,-5,-5,-5
2815,1,195,0,39000,54
2816,1,195,1,210000,58
2817,2,147,6,21600,55
2818,2,179,1,191100,54
2819,2,-5,-5,-5,-5
2820,1,-5,-5,-5,-5
2821,1,-5,-5,-5,-5
2822,2,-5,-5,-5,-5
2823,2,-5,-5,-5,-5
2824,2,-5,-5,-5,-5
2825,2,140,2,48000,55
2826,2,-5,-5,-5,-5
2827,1,-5,-5,-5,-5
2828,2,130,11,45000,57
2829,2,178,0,113800,55
2830,1,-5,-5,-5,-5
2831,2,200,5,121520,57
2832,1,185,7,72500,56
2833,1,-5,-5,-5,-5
2834,2,-5,-5,-5,-5
2835,2,-5,-5,-5,-5
2836,1,-5,-5,-5,-5
2837,1,-5,-5,-5,-5
2838,1,190,8,204300,57
2839,1,-5,-5,-5,-5
2840,2,190,4,345000,55
2841,2,145,3,100000,60
2842,1,185,10,110000,61
2843,2,-5,-5,-5,-5
2844,1,-5,-5,-5,-5
2845,1,-5,-5,-5,-5
2846,2,-5,-5,-5,-5
2847,2,-5,-5,-5,-5
2848,2,145,6,34561,59
2849,2,165,6,0,57
2850,2,120,2,-3,55
2851,1,234,0,702057,55
2852,1,230,4,29000,60
2853,1,-5,-5,-5,-5
2854,1,-5,-5,-5,-5
2855,2,234,1,63076,54
2856,2,204,7,83100,58
2857,1,-5,-5,-5,-5
2858,1,230,11,70050,55
2859,1,-5,-5,-5,-5
2860,1,-5,-5,-5,-5
2861,1,207,9,283000,55
2862,2,-5,-5,-5,-5
2863,2,-5,-5,-5,-5
2864,2,225,4,39000,60
2865,2,108,3,2382,58
2866,1,245,10,194280,57
2867,2,220,5,91600,56
2868,1,220,0,187400,61
2869,2,-5,-5,-5,-5
2870,1,225,8,91300,57
2871,1,210,11,180000,55
2872,2,-5,-5,-5,-5
2873,1,-5,-5,-5,-5
2874,1,151,10,30000,58
2875,1,-5,-5,-5,-5
2876,1,190,10,122000,58
2877,2,155,5,160200,59
2878,2,160,0,-3,60
2879,2,-5,-5,-5,-5
2880,2,-5,-5,-5,-5
2881,1,240,1,120000,56
2882,1,187,10,32000,58
2883,2,-1,5,-3,56
2884,1,170,7,-3,55
2885,2,-1,4,-3,60
2886,2,180,6,54240,59
2887,2,-5,-5,-5,-5
2888,1,-5,-5,-5,-5
2889,2,114,2,0,55
2890,1,-5,-5,-5,-5
2891,2,-5,-5,-5,-5
2892,2,-5,-5,-5,-5
2893,1,156,7,702057,58
2894,2,-1,6,-3,56
2895,1,195,2,208000,53
2896,1,170,10,702057,57
2897,2,-5,-5,-5,-5
2898,1,-5,-5,-5,-5
2899,2,150,4,98000,56
2900,2,-5,-5,-5,-5
2901,2,-5,-5,-5,-5
2902,2,130,3,54000,60
2903,1,-5,-5,-5,-5
2904,1,185,10,188000,57
2905,1,260,1,-3,57
2906,1,190,9,702057,56
2907,1,-5,-5,-5,-5
2908,2,125,2,702057,60
2909,2,115,5,-3,58
2910,2,135,7,56000,54
2911,2,148,3,38000,57
2912,1,195,9,27500,55
2913,1,-5,-5,-5,-5
2914,1,210,0,35500,58
2915,1,185,11,155000,60
2916,1,240,10,18000,58
2917,1,135,8,-3,59
2918,2,171,5,180000,60
2919,2,140,2,60000,58
2920,1,173,7,115000,57
2921,1,250,0,-3,54
2922,1,-5,-5,-5,-5
2923,1,-5,-5,-5,-5
2924,1,-5,-5,-5,-5
2925,1,-5,-5,-5,-5
2926,2,-5,-5,-5,-5
2927,1,170,9,110000,58
2928,2,145,0,66500,55
2929,2,190,6,70000,60
2930,2,142,2,103000,58
2931,1,-5,-5,-5,-5
2932,1,-5,-5,-5,-5
2933,1,152,7,-3,57
2934,2,126,11,15000,57
2935,2,-5,-5,-5,-5
2936,2,210,6,97185,59
2937,1,-5,-5,-5,-5
2938,2,-5,-5,-5,-5
2939,1,247,2,146000,60
2940,2,170,3,122000,59
2941,1,188,8,702057,54
2942,2,140,1,2400,54
2943,2,115,4,702057,55
2944,1,145,7,135000,56
2945,1,182,2,89300,56
2946,2,178,8,181000,54
2947,2,-5,-5,-5,-5
2948,2,140,4,-3,61
2949,2,-5,-5,-5,-5
2950,1,180,0,135000,55
2951,1,265,2,-3,59
2952,2,200,6,145822,55
2953,1,180,7,45000,56
2954,1,-5,-5,-5,-5
2955,2,130,8,350000,58
2956,1,-5,-5,-5,-5
2957,1,-5,-5,-5,-5
2958,1,180,0,190600,54
2959,2,130,4,702057,56
2960,1,160,5,-3,54
2961,2,130,1,195000,60
2962,1,225,1,257500,56
2963,1,160,0,10848,55
2964,2,128,6,140300,57
2965,1,283,11,5000,58
2966,1,-5,-5,-5,-5
2967,1,-5,-5,-5,-5
2968,1,170,6,45000,54
2969,2,-5,-5,-5,-5
2970,2,160,1,0,61
2971,1,125,4,43000,55
2972,1,-5,-5,-5,-5
2973,1,148,2,7296,56
2974,1,165,10,329500,55
2975,1,-5,-5,-5,-5
2976,1,230,7,90000,54
2977,1,175,8,34040,56
2978,2,191,2,190880,59
2979,2,159,1,114000,56
2980,1,170,9,320000,61
2981,1,-5,-5,-5,-5
2982,1,-5,-5,-5,-5
2983,2,-1,2,-3,54
2984,1,245,2,365000,57
2985,1,228,10,167100,54
2986,1,-5,-5,-5,-5
2987,2,-1,0,-3,60
2988,1,190,1,253000,58
2989,1,206,8,192000,54
2990,2,-1,5,77000,56
2991,2,200,1,115000,55
2992,1,-5,-5,-5,-5
2993,2,157,6,22440,56
2994,1,225,1,164000,59
2995,2,147,3,113480,58
2996,1,200,10,50000,59
2997,1,202,1,90000,60
2998,1,-5,-5,-5,-5
2999,1,160,8,102000,59
3000,2,-5,-5,-5,-5
3001,2,-5,-5,-5,-5
3002,1,-5,-5,-5,-5
3003,1,243,3,-3,57
3004,2,230,4,24000,61
3005,1,-5,-5,-5,-5
3006,2,-5,-5,-5,-5
3007,2,-5,-5,-5,-5
3008,1,-5,-5,-5,-5
3009,2,-5,-5,-5,-5
3010,2,175,5,21800,61
3011,2,200,4,702057,57
3012,2,150,7,42000,62
3013,2,170,2,-3,55
3014,2,168,3,10968,55
3015,1,220,2,185000,59
3016,1,250,3,145000,57
3017,1,180,11,-3,60
3018,1,250,0,-3,54
3019,1,180,10,120000,57
3020,2,121,1,30000,55
3021,2,155,5,-3,60
3022,1,280,2,-3,62
3023,2,-5,-5,-5,-5
3024,1,180,11,100000,55
3025,2,187,3,202620,59
3026,1,-5,-5,-5,-5
3027,2,195,3,37000,59
3028,1,280,9,22320,59
3029,1,-5,-5,-5,-5
3030,1,-5,-5,-5,-5
3031,1,-5,-5,-5,-5
3032,1,-5,-5,-5,-5
3033,1,-5,-5,-5,-5
3034,2,-5,-5,-5,-5
3035,2,202,0,50500,55
3036,2,165,4,100000,61
3037,1,235,0,75500,60
3038,2,-5,-5,-5,-5
3039,1,235,5,113000,58
3040,2,-5,-5,-5,-5
3041,2,160,6,68548,60
3042,2,180,0,101000,57
3043,2,-5,-5,-5,-5
3044,1,-5,-5,-5,-5
3045,2,-5,-5,-5,-5
3046,2,-1,6,0,60
3047,2,190,10,-3,58
3048,2,-5,-5,-5,-5
3049,2,-5,-5,-5,-5
3050,1,-5,-5,-5,-5
3051,2,135,4,40000,56
3052,1,220,9,56000,59
3053,2,-5,-5,-5,-5
3054,2,95,11,0,59
3055,1,170,3,32000,55
3056,1,-5,-5,-5,-5
3057,2,150,4,62200,60
3058,2,125,6,108000,57
3059,1,212,11,56000,61
3060,1,200,1,-3,59
3061,2,148,8,320000,60
3062,1,210,1,325000,61
3063,1,215,2,102000,57
3064,2,-5,-5,-5,-5
3065,2,-5,-5,-5,-5
3066,2,-5,-5,-5,-5
3067,1,-5,-5,-5,-5
3068,2,145,2,37600,60
3069,2,185,5,-3,59
3070,1,-5,-5,-5,-5
3071,1,-5,-5,-5,-5
3072,1,-1,7,-3,54
3073,2,250,8,-3,57
3074,2,-5,-5,-5,-5
3075,2,135,2,-3,61
3076,2,144,4,-3,54
3077,1,235,2,92000,61
3078,2,-5,-5,-5,-5
3079,2,-5,-5,-5,-5
3080,2,119,4,27552,57
3081,2,160,3,24000,55
3082,1,190,8,-3,53
3083,1,290,3,70000,59
3084,1,240,10,-3,58
3085,2,185,4,215700,56
3086,1,-5,-5,-5,-5
3087,1,-5,-5,-5,-5
3088,1,165,8,80000,55
3089,1,190,0,72003,59
3090,2,185,4,44371,58
3091,2,160,4,90000,54
3092,1,-5,-5,-5,-5
3093,2,129,2,40000,62
3094,2,132,4,32000,59
3095,2,165,7,-3,61
3096,2,124,3,147000,60
3097,1,185,10,-3,56
3098,2,185,0,600,58
3099,2,200,8,-3,55
3100,1,245,5,80000,60
3101,2,-5,-5,-5,-5
3102,1,175,1,134400,57
3103,1,187,8,84000,55
3104,1,159,11,5000,53
3105,2,-5,-5,-5,-5
3106,2,165,11,105000,54
3107,2,170,8,13728,54
3108,2,-5,-5,-5,-5
3109,2,140,4,75000,57
3110,2,-5,-5,-5,-5
3111,2,235,3,136000,58
3112,2,190,8,218643,55
3113,2,153,4,186000,59
3114,1,-5,-5,-5,-5
3115,2,160,6,702057,56
3116,1,220,1,86608,61
3117,2,-5,-5,-5,-5
3118,2,150,5,-3,55
3119,2,-5,-5,-5,-5
3120,2,170,5,30680,56
3121,2,-5,-5,-5,-5
3122,2,160,3,207636,56
3123,1,300,10,92000,59
3124,1,340,7,111000,56
3125,1,-5,-5,-5,-5
3126,1,-5,-5,-5,-5
3127,1,218,0,85000,57
3128,1,230,9,11994,57
3129,2,180,6,32000,55
3130,2,-5,-5,-5,-5
3131,1,-5,-5,-5,-5
3132,1,-5,-5,-5,-5
3133,2,-5,-5,-5,-5
3134,2,170,5,56000,59
3135,2,-5,-5,-5,-5
3136,1,-5,-5,-5,-5
3137,1,175,7,132000,60
3138,1,210,1,85000,60
3139,1,-5,-5,-5,-5
3140,1,210,0,215000,61
3141,1,195,2,25000,56
3142,1,260,2,244000,54
3143,2,185,4,160400,57
3144,1,-5,-5,-5,-5
3145,2,140,9,208252,56
3146,2,127,8,95000,58
3147,1,-5,-5,-5,-5
3148,2,200,5,-3,58
3149,1,-5,-5,-5,-5
3150,2,149,1,338500,59
3151,2,-1,4,73000,57
3152,1,220,1,-3,59
3153,2,154,6,-3,56
3154,2,-5,-5,-5,-5
3155,2,-5,-5,-5,-5
3156,2,136,1,185000,57
3157,2,123,3,171400,54
